,data_type
Age,int64
Attrition,int8
BusinessTravel,str
DailyRate,int64
Department,str
DistanceFromHome,int64
Education,int64
EducationField,str
EnvironmentSatisfaction,int64
Gender,str
HourlyRate,int64
JobInvolvement,int64
JobLevel,int64
JobRole,str
JobSatisfaction,int64
MaritalStatus,str
MonthlyIncome,int64
MonthlyRate,int64
NumCompaniesWorked,int64
OverTime,str
PercentSalaryHike,int64
PerformanceRating,int64
RelationshipSatisfaction,int64
StockOptionLevel,int64
TotalWorkingYears,int64
TrainingTimesLastYear,int64
WorkLifeBalance,int64
YearsAtCompany,int64
YearsInCurrentRole,int64
YearsSinceLastPromotion,int64
YearsWithCurrManager,int64
CompanyTenureRatio,float64
CurrentRoleTenureRatio,float64
ManagerTenureRatio,float64
PromotionDelayRatio,float64
IncomePerWorkingYear,float64
IncomePerJobLevel,float64
OverallSatisfaction,float64
LowSatisfactionCount,int64
CareerStage,str
