feature,coefficient,absolute_importance,direction
categorical__CareerStage_Early Career,1.7428061184305204,1.7428061184305204,increases_attrition_risk
categorical__CareerStage_Senior,-1.4225492898737127,1.4225492898737127,decreases_attrition_risk
categorical__JobRole_Research Director,-1.240938621090417,1.240938621090417,decreases_attrition_risk
categorical__JobRole_Laboratory Technician,1.086682736177326,1.086682736177326,increases_attrition_risk
categorical__OverTime_No,-0.9673754404996568,0.9673754404996568,decreases_attrition_risk
categorical__JobRole_Sales Representative,0.936740161422108,0.936740161422108,increases_attrition_risk
categorical__BusinessTravel_Non-Travel,-0.9313904884947379,0.9313904884947379,decreases_attrition_risk
categorical__BusinessTravel_Travel_Frequently,0.9123200670616524,0.9123200670616524,increases_attrition_risk
categorical__OverTime_Yes,0.8866343426717944,0.8866343426717944,increases_attrition_risk
numeric__NumCompaniesWorked,0.8380947899849692,0.8380947899849692,increases_attrition_risk
numeric__OverallSatisfaction,-0.6765234946222416,0.6765234946222416,decreases_attrition_risk
categorical__JobRole_Manager,-0.6545804147912724,0.6545804147912724,decreases_attrition_risk
categorical__EducationField_Human Resources,0.6206976309696793,0.6206976309696793,increases_attrition_risk
numeric__LowSatisfactionCount,-0.5441632373829232,0.5441632373829232,decreases_attrition_risk
numeric__YearsAtCompany,-0.4890048849648072,0.4890048849648072,decreases_attrition_risk
numeric__CompanyTenureRatio,0.44119589058397574,0.44119589058397574,increases_attrition_risk
numeric__PercentSalaryHike,-0.41394772670967767,0.41394772670967767,decreases_attrition_risk
categorical__EducationField_Other,-0.3952882211198102,0.3952882211198102,decreases_attrition_risk
numeric__JobLevel,0.39318087739015534,0.39318087739015534,increases_attrition_risk
numeric__DistanceFromHome,0.38812248839686686,0.38812248839686686,increases_attrition_risk
categorical__JobRole_Healthcare Representative,-0.37730029592083775,0.37730029592083775,decreases_attrition_risk
numeric__JobSatisfaction,-0.368993579116688,0.368993579116688,decreases_attrition_risk
categorical__Department_Research & Development,-0.3572226583653121,0.3572226583653121,decreases_attrition_risk
numeric__ManagerTenureRatio,-0.35716624174420925,0.35716624174420925,decreases_attrition_risk
categorical__JobRole_Sales Executive,0.35632018704723145,0.35632018704723145,increases_attrition_risk
numeric__EnvironmentSatisfaction,-0.3556374117194314,0.3556374117194314,decreases_attrition_risk
numeric__YearsSinceLastPromotion,0.3470825842729997,0.3470825842729997,increases_attrition_risk
categorical__MaritalStatus_Single,0.34605053804538255,0.34605053804538255,increases_attrition_risk
numeric__WorkLifeBalance,-0.33854270769863015,0.33854270769863015,decreases_attrition_risk
numeric__JobInvolvement,-0.32933343272617216,0.32933343272617216,decreases_attrition_risk
numeric__Age,-0.32858536775120617,0.32858536775120617,decreases_attrition_risk
numeric__RelationshipSatisfaction,-0.31628138305267284,0.31628138305267284,decreases_attrition_risk
categorical__Department_Sales,0.29459287282551166,0.29459287282551166,increases_attrition_risk
numeric__CurrentRoleTenureRatio,-0.27999281923882813,0.27999281923882813,decreases_attrition_risk
numeric__StockOptionLevel,-0.27552504187778665,0.27552504187778665,decreases_attrition_risk
categorical__EducationField_Marketing,-0.2695261885092599,0.2695261885092599,decreases_attrition_risk
categorical__CareerStage_Experienced,-0.2679902526694695,0.2679902526694695,decreases_attrition_risk
numeric__TrainingTimesLastYear,-0.26126385853764056,0.26126385853764056,decreases_attrition_risk
numeric__IncomePerWorkingYear,-0.251617755141943,0.251617755141943,decreases_attrition_risk
numeric__YearsInCurrentRole,0.2496888211442702,0.2496888211442702,increases_attrition_risk
categorical__MaritalStatus_Married,-0.23753411349146386,0.23753411349146386,decreases_attrition_risk
numeric__DailyRate,-0.23536443742953533,0.23536443742953533,decreases_attrition_risk
numeric__PromotionDelayRatio,0.22851936490568972,0.22851936490568972,increases_attrition_risk
categorical__Gender_Female,-0.1989962895326079,0.1989962895326079,decreases_attrition_risk
numeric__PerformanceRating,0.1909380551220964,0.1909380551220964,increases_attrition_risk
categorical__MaritalStatus_Divorced,-0.18925752238177926,0.18925752238177926,decreases_attrition_risk
categorical__JobRole_Manufacturing Director,-0.1769879729806547,0.1769879729806547,decreases_attrition_risk
numeric__Education,0.14927870355857514,0.14927870355857514,increases_attrition_risk
categorical__CareerStage_Developing,-0.13300767371519764,0.13300767371519764,decreases_attrition_risk
categorical__JobRole_Research Scientist,-0.1303325616873477,0.1303325616873477,decreases_attrition_risk
categorical__JobRole_Human Resources,0.11965568399600221,0.11965568399600221,increases_attrition_risk
categorical__Gender_Male,0.11825519170474745,0.11825519170474745,increases_attrition_risk
categorical__EducationField_Technical Degree,0.11789678266426891,0.11789678266426891,increases_attrition_risk
numeric__YearsWithCurrManager,-0.10668097026182925,0.10668097026182925,decreases_attrition_risk
categorical__EducationField_Life Sciences,-0.09878805594759399,0.09878805594759399,decreases_attrition_risk
numeric__TotalWorkingYears,-0.09422648919488376,0.09422648919488376,decreases_attrition_risk
numeric__MonthlyIncome,0.0668051331517872,0.0668051331517872,increases_attrition_risk
categorical__BusinessTravel_Travel_Rarely,-0.06167067639477347,0.06167067639477347,decreases_attrition_risk
categorical__EducationField_Medical,-0.05573304588514462,0.05573304588514462,decreases_attrition_risk
numeric__MonthlyRate,-0.042482837013879005,0.042482837013879005,decreases_attrition_risk
categorical__Department_Human Resources,-0.018111312288060066,0.018111312288060066,decreases_attrition_risk
numeric__IncomePerJobLevel,-0.010851565286813665,0.010851565286813665,decreases_attrition_risk
numeric__HourlyRate,0.007701516911667647,0.007701516911667647,increases_attrition_risk
